districtName,districtCode,provinceName,provinceCode
Huyện Mường La,120,Tỉnh Sơn La,14
Huyện Phù Yên,122,Tỉnh Sơn La,14
Huyện Quỳnh Nhai,118,Tỉnh Sơn La,14
Huyện Sông Mã,126,Tỉnh Sơn La,14
Huyện Sốp Cộp,127,Tỉnh Sơn La,14
Huyện Thuận Châu,119,Tỉnh Sơn La,14
Huyện Vân Hồ,128,Tỉnh Sơn La,14
Huyện Yên Châu,124,Tỉnh Sơn La,14
Thành phố Sơn La,116,Tỉnh Sơn La,14
Thị xã Mộc Châu,123,Tỉnh Sơn La,14
Huyện Bá Thước,386,Tỉnh Thanh Hóa,38
Huyện Cẩm Thủy,390,Tỉnh Thanh Hóa,38
Huyện Hoằng Hóa,399,Tỉnh Thanh Hóa,38
Huyện Hà Trung,392,Tỉnh Thanh Hóa,38
Huyện Hậu Lộc,400,Tỉnh Thanh Hóa,38
Huyện Lang Chánh,388,Tỉnh Thanh Hóa,38
Huyện Mường Lát,384,Tỉnh Thanh Hóa,38
Huyện Nga Sơn,401,Tỉnh Thanh Hóa,38
Huyện Ngọc Lặc,389,Tỉnh Thanh Hóa,38
Huyện Như Thanh,403,Tỉnh Thanh Hóa,38
Huyện Như Xuân,402,Tỉnh Thanh Hóa,38
Huyện Nông Cống,404,Tỉnh Thanh Hóa,38
Huyện Quan Hóa,385,Tỉnh Thanh Hóa,38
Huyện Quan Sơn,387,Tỉnh Thanh Hóa,38
Huyện Quảng Xương,406,Tỉnh Thanh Hóa,38
Huyện Thiệu Hóa,398,Tỉnh Thanh Hóa,38
Huyện Thường Xuân,396,Tỉnh Thanh Hóa,38
Huyện Thạch Thành,391,Tỉnh Thanh Hóa,38
Huyện Thọ Xuân,395,Tỉnh Thanh Hóa,38
Huyện Triệu Sơn,397,Tỉnh Thanh Hóa,38
Huyện Vĩnh Lộc,393,Tỉnh Thanh Hóa,38
Huyện Yên Định,394,Tỉnh Thanh Hóa,38
Thành phố Sầm Sơn,382,Tỉnh Thanh Hóa,38
Thành phố Thanh Hóa,380,Tỉnh Thanh Hóa,38
Thị xã Bỉm Sơn,381,Tỉnh Thanh Hóa,38
Thị xã Nghi Sơn,407,Tỉnh Thanh Hóa,38
Huyện Hưng Hà,339,Tỉnh Thái Bình,34
Huyện Kiến Xương,343,Tỉnh Thái Bình,34
Huyện Quỳnh Phụ,338,Tỉnh Thái Bình,34
Huyện Thái Thụy,341,Tỉnh Thái Bình,34
Huyện Tiền Hải,342,Tỉnh Thái Bình,34
Huyện Vũ Thư,344,Tỉnh Thái Bình,34
Huyện Đông Hưng,340,Tỉnh Thái Bình,34
Thành phố Thái Bình,336,Tỉnh Thái Bình,34
Huyện Phú Bình,173,Tỉnh Thái Nguyên,19
Huyện Phú Lương,168,Tỉnh Thái Nguyên,19
Huyện Võ Nhai,170,Tỉnh Thái Nguyên,19
Huyện Đại Từ,171,Tỉnh Thái Nguyên,19
Huyện Định Hóa,167,Tỉnh Thái Nguyên,19
Huyện Đồng Hỷ,169,Tỉnh Thái Nguyên,19
Thành phố Phổ Yên,172,Tỉnh Thái Nguyên,19
Thành phố Sông Công,165,Tỉnh Thái Nguyên,19
Thành phố Thái Nguyên,164,Tỉnh Thái Nguyên,19
Huyện Cai Lậy,820,Tỉnh Tiền Giang,82
Huyện Châu Thành,821,Tỉnh Tiền Giang,82
Huyện Chợ Gạo,822,Tỉnh Tiền Giang,82
Huyện Cái Bè,819,Tỉnh Tiền Giang,82
Huyện Gò Công Tây,823,Tỉnh Tiền Giang,82
Huyện Gò Công Đông,824,Tỉnh Tiền Giang,82
Huyện Tân Phú Đông,825,Tỉnh Tiền Giang,82
Huyện Tân Phước,818,Tỉnh Tiền Giang,82
Thành phố Gò Công,816,Tỉnh Tiền Giang,82
Thành phố Mỹ Tho,815,Tỉnh Tiền Giang,82
Thị xã Cai Lậy,817,Tỉnh Tiền Giang,82
Huyện Châu Thành,847,Tỉnh Trà Vinh,84
Huyện Càng Long,844,Tỉnh Trà Vinh,84
Huyện Cầu Kè,845,Tỉnh Trà Vinh,84
Huyện Cầu Ngang,848,Tỉnh Trà Vinh,84
Huyện Duyên Hải,850,Tỉnh Trà Vinh,84
Huyện Tiểu Cần,846,Tỉnh Trà Vinh,84
Huyện Trà Cú,849,Tỉnh Trà Vinh,84
Thành phố Trà Vinh,842,Tỉnh Trà Vinh,84
Thị xã Duyên Hải,851,Tỉnh Trà Vinh,84
Huyện Bến Cầu,711,Tỉnh Tây Ninh,72
Huyện Châu Thành,708,Tỉnh Tây Ninh,72
Huyện Dương Minh Châu,707,Tỉnh Tây Ninh,72
Huyện Gò Dầu,710,Tỉnh Tây Ninh,72
Huyện Tân Biên,705,Tỉnh Tây Ninh,72
Huyện Tân Châu,706,Tỉnh Tây Ninh,72
Thành phố Tây Ninh,703,Tỉnh Tây Ninh,72
Thị xã Hòa Thành,709,Tỉnh Tây Ninh,72
Thị xã Trảng Bàng,712,Tỉnh Tây Ninh,72
Huyện Bình Tân,863,Tỉnh Vĩnh Long,86
Huyện Long Hồ,857,Tỉnh Vĩnh Long,86
Huyện Mang Thít,858,Tỉnh Vĩnh Long,86
Huyện Tam Bình,860,Tỉnh Vĩnh Long,86
Huyện Trà Ôn,862,Tỉnh Vĩnh Long,86
Huyện Vũng Liêm,859,Tỉnh Vĩnh Long,86
Thành phố Vĩnh Long,855,Tỉnh Vĩnh Long,86
Thị xã Bình Minh,861,Tỉnh Vĩnh Long,86
Huyện Bình Xuyên,249,Tỉnh Vĩnh Phúc,26
Huyện Lập Thạch,246,Tỉnh Vĩnh Phúc,26
Huyện Sông Lô,253,Tỉnh Vĩnh Phúc,26
Huyện Tam Dương,247,Tỉnh Vĩnh Phúc,26
Huyện Tam Đảo,248,Tỉnh Vĩnh Phúc,26
Huyện Vĩnh Tường,252,Tỉnh Vĩnh Phúc,26
Huyện Yên Lạc,251,Tỉnh Vĩnh Phúc,26
Thành phố Phúc Yên,244,Tỉnh Vĩnh Phúc,26
Thành phố Vĩnh Yên,243,Tỉnh Vĩnh Phúc,26
Huyện Lục Yên,135,Tỉnh Yên Bái,15
Huyện Mù Căng Chải,137,Tỉnh Yên Bái,15
Huyện Trạm Tấu,139,Tỉnh Yên Bái,15
Huyện Trấn Yên,138,Tỉnh Yên Bái,15
Huyện Văn Chấn,140,Tỉnh Yên Bái,15
Huyện Văn Yên,136,Tỉnh Yên Bái,15
Huyện Yên Bình,141,Tỉnh Yên Bái,15
Thành phố Yên Bái,132,Tỉnh Yên Bái,15
Thị xã Nghĩa Lộ,133,Tỉnh Yên Bái,15
Huyện Mường Chà,097,Tỉnh Điện Biên,11
Huyện Mường Nhé,096,Tỉnh Điện Biên,11
Huyện Mường Ảng,102,Tỉnh Điện Biên,11
Huyện Nậm Pồ,103,Tỉnh Điện Biên,11
Huyện Tuần Giáo,099,Tỉnh Điện Biên,11
Huyện Tủa Chùa,098,Tỉnh Điện Biên,11
Huyện Điện Biên,100,Tỉnh Điện Biên,11
Huyện Điện Biên Đông,101,Tỉnh Điện Biên,11
Thành phố Điện Biên Phủ,094,Tỉnh Điện Biên,11
Thị xã Mường Lay,095,Tỉnh Điện Biên,11
Huyện Buôn Đôn,647,Tỉnh Đắk Lắk,66
Huyện Cư Kuin,657,Tỉnh Đắk Lắk,66
Huyện Cư M'gar,648,Tỉnh Đắk Lắk,66
Huyện Ea H'leo,645,Tỉnh Đắk Lắk,66
Huyện Ea Kar,651,Tỉnh Đắk Lắk,66
Huyện Ea Súp,646,Tỉnh Đắk Lắk,66
Huyện Krông A Na,655,Tỉnh Đắk Lắk,66
Huyện Krông Bông,653,Tỉnh Đắk Lắk,66
Huyện Krông Búk,649,Tỉnh Đắk Lắk,66
Huyện Krông Năng,650,Tỉnh Đắk Lắk,66
Huyện Krông Pắc,654,Tỉnh Đắk Lắk,66
Huyện Lắk,656,Tỉnh Đắk Lắk,66
Huyện M'Đrắk,652,Tỉnh Đắk Lắk,66
Thành phố Buôn Ma Thuột,643,Tỉnh Đắk Lắk,66
Thị xã Buôn Hồ,644,Tỉnh Đắk Lắk,66
Huyện Cư Jút,662,Tỉnh Đắk Nông,67
Huyện Krông Nô,664,Tỉnh Đắk Nông,67
Huyện Tuy Đức,667,Tỉnh Đắk Nông,67
Huyện Đăk Glong,661,Tỉnh Đắk Nông,67
Huyện Đắk Mil,663,Tỉnh Đắk Nông,67
Huyện Đắk R'Lấp,666,Tỉnh Đắk Nông,67
Huyện Đắk Song,665,Tỉnh Đắk Nông,67
Thành phố Gia Nghĩa,660,Tỉnh Đắk Nông,67
Huyện Cẩm Mỹ,739,Tỉnh Đồng Nai,75
Huyện Long Thành,740,Tỉnh Đồng Nai,75
Huyện Nhơn Trạch,742,Tỉnh Đồng Nai,75
Huyện Thống Nhất,738,Tỉnh Đồng Nai,75
Huyện Trảng Bom,737,Tỉnh Đồng Nai,75
Huyện Tân Phú,734,Tỉnh Đồng Nai,75
Huyện Vĩnh Cửu,735,Tỉnh Đồng Nai,75
Huyện Xuân Lộc,741,Tỉnh Đồng Nai,75
Huyện Định Quán,736,Tỉnh Đồng Nai,75
Thành phố Biên Hòa,731,Tỉnh Đồng Nai,75
Thành phố Long Khánh,732,Tỉnh Đồng Nai,75
Huyện Cao Lãnh,873,Tỉnh Đồng Tháp,87
Huyện Châu Thành,877,Tỉnh Đồng Tháp,87
Huyện Hồng Ngự,870,Tỉnh Đồng Tháp,87
Huyện Lai Vung,876,Tỉnh Đồng Tháp,87
Huyện Lấp Vò,875,Tỉnh Đồng Tháp,87
Huyện Tam Nông,871,Tỉnh Đồng Tháp,87
Huyện Thanh Bình,874,Tỉnh Đồng Tháp,87
Huyện Tháp Mười,872,Tỉnh Đồng Tháp,87
Huyện Tân Hồng,869,Tỉnh Đồng Tháp,87
Thành phố Cao Lãnh,866,Tỉnh Đồng Tháp,87
Thành phố Hồng Ngự,868,Tỉnh Đồng Tháp,87
Thành phố Sa Đéc,867,Tỉnh Đồng Tháp,87
